id,name,mobile,role,email
2900,Ahmed Al-Saudi,0536925874,leader,test1_ahmed@remuntada-test.com
2901,Abdullah Al-Mohammed,0536925876,subLeader,test3_abdullah@remuntada-test.com
2902,Ali Al-Abdullah,0536925877,member,test4_ali@remuntada-test.com
2903,Omar Al-Ali,0536925878,member,test5_omar@remuntada-test.com
2904,Khalid Al-Omar,0536925879,member,test6_khalid@remuntada-test.com
2905,Fahd Al-Khalid,0536925880,member,test7_fahd@remuntada-test.com
2906,Saud Al-Fahd,0536925881,member,test8_saud@remuntada-test.com
2907,Nasser Al-Faisal,0536925883,member,test10_nasser@remuntada-test.com
2908,Abdulrahman Al-Nasser,0536925884,member,test11_abdulrahman@remuntada-test.com
2909,Rayan Al-Rayan,0536925889,member,test16_rayan@remuntada-test.com
2910,Yazeed Al-Yazeed,0536925890,member,test17_yazeed@remuntada-test.com
2911,Zaid Al-Zaid,0536925893,member,test20_zaid@remuntada-test.com
